gene,drug,score,source
IGF1R,TEPROTUMUMAB,0.348,SURFACE
IGF1R,PICROPODOPHYLLIN,1.0441,SURFACE
IGF1R,METFORMIN,0.0255,SURFACE
IGF1R,RALOXIFENE HYDROCHLORIDE,0.0418,SURFACE
IGF1R,ENTRECTINIB,0.0183,SURFACE
IGF1R,ISTIRATUMAB,0.6961,SURFACE
LAMC1,OCRIPLASMIN,1.3738,SURFACE
INSR,TESOFENSINE,0.1838,SURFACE
INSR,INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN,0.7353,SURFACE
INSR,GO-6976,0.0171,SURFACE
INSR,"INSULIN ZINC, PROMPT",0.7353,SURFACE
INSR,INSULIN PURIFIED PORK,0.7353,SURFACE
INSR,INSULIN ZINC SUSP EXTENDED PURIFIED BEEF,0.7353,SURFACE
INSR,"INSULIN ZINC, EXTENDED",0.7353,SURFACE
INSR,INSULIN ZINC SUSP EXTENDED BEEF,0.7353,SURFACE
INSR,INSULIN ZINC SUSP BEEF,0.7353,SURFACE
INSR,INSULIN SENSITIZER S-707106,0.7353,SURFACE
INSR,SP-600125,0.0083,SURFACE
INSR,CYCLOPHOSPHAMIDE ANHYDROUS,0.0182,SURFACE
INSR,INSULIN DETEMIR,1.4705,SURFACE
INSR,INSULIN DEGLUDEC,0.3676,SURFACE
INSR,AEW-541,0.3676,SURFACE
INSR,ILORASERTIB,0.0063,SURFACE
INSR,NVP-TAE684,0.0071,SURFACE
INSR,INSULIN ASPART PROTAMINE RECOMBINANT,0.7353,SURFACE
INSR,INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF,0.7353,SURFACE
INSR,"INSULIN, PROTAMINE ZINC",0.7353,SURFACE
INSR,INSULIN TREGOPIL,0.7353,SURFACE
INSR,"INSULIN, REGULAR, HUMAN",0.0416,SURFACE
INSR,PF-562271,0.0068,SURFACE
INSR,INSULIN SUSP PROTAMINE ZINC PURIFIED PORK,0.7353,SURFACE
INSR,RECOMBINANT HUMAN KALLIKREIN-1,0.7353,SURFACE
INSR,LINIFANIB,0.0092,SURFACE
INSR,"INSULIN [INJECTION], BIPHASIC",0.7353,SURFACE
INSR,"INSULIN HUMAN, ISOPHANE",0.7353,SURFACE
INSR,INSULIN SUSP ISOPHANE PURIFIED PORK,0.7353,SURFACE
INSR,INSULIN ZINC SUSP PURIFIED PORK,0.7353,SURFACE
INSR,RG-1530,0.0078,SURFACE
INSR,EPIRUBICIN,0.0408,SURFACE
INSR,"INSULIN ASPART PROTAMINE, HUMAN",1.4705,SURFACE
INSR,TOZASERTIB,0.0101,SURFACE
INSR,TOPIRAMATE,0.0334,SURFACE
INSR,LINSITINIB,0.105,SURFACE
INSR,INSULIN LISPRO,0.7353,SURFACE
INSR,INSULIN LISPRO PROTAMINE RECOMBINANT,0.7353,SURFACE
INSR,INSULIN SUSP ISOPHANE BEEF/PORK,0.7353,SURFACE
INSR,MITOGLITAZONE,0.2451,SURFACE
INSR,CENISERTIB,0.0062,SURFACE
INSR,INSULIN PURIFIED BEEF,0.7353,SURFACE
INSR,DOVITINIB,0.0073,SURFACE
INSR,INSULIN SUSP ISOPHANE BEEF,0.7353,SURFACE
INSR,"INSULIN, REGULAR, PORK",0.7353,SURFACE
INSR,INSULIN PEGLISPRO,0.7353,SURFACE
INSR,AGT-182,0.7353,SURFACE
INSR,INSULIN GLARGINE,1.4705,SURFACE
INSR,INSULIN ZINC SUSP PURIFIED BEEF/PORK,0.7353,SURFACE
INSR,INSULIN SUSP ISOPHANE PURIFIED BEEF,0.7353,SURFACE
INSR,INSULIN SUSP PROTAMINE ZINC BEEF/PORK,0.3676,SURFACE
INSR,INSULIN ZINC SUSP RECOMBINANT HUMAN,0.3676,SURFACE
INSR,INSULIN ZINC SUSP PROMPT BEEF,0.7353,SURFACE
INSR,BMS-754807,0.0817,SURFACE
INSR,INSULIN ZINC SUSP PROMPT PURIFIED PORK,0.7353,SURFACE
INSR,METFORMIN GLYCINATE,1.4705,SURFACE
INSR,KW-2450,0.3676,SURFACE
INSR,"INSULIN, PORCINE",0.7353,SURFACE
INSR,INSULIN ZINC SUSP PURIFIED BEEF,0.7353,SURFACE
INSR,FLUOROURACIL,0.0127,SURFACE
INSR,INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,0.3676,SURFACE
INSR,"INSULIN, ISOPHANE",0.7353,SURFACE
INSR,TAMATINIB,0.0091,SURFACE
INSR,GW441756X,0.0113,SURFACE
INSR,INSULIN ZINC SUSP SEMISYNTHETIC PURIFIED HUMAN,0.7353,SURFACE
INSR,CYC-116,0.0076,SURFACE
INSR,"INSULIN GLULISINE, HUMAN",1.4705,SURFACE
INSR,METHAZOLAMIDE,0.7353,SURFACE
INSR,CERITINIB,0.0865,SURFACE
INSR,HESPERADIN,0.0184,SURFACE
INSR,INSULIN ZINC SUSP EXTENDED RECOMBINANT HUMAN,0.7353,SURFACE
HSP90B1,VIAGENPUMATUCEL-L,26.1019,SURFACE
LIFR,EMFILERMIN,104.4076,SURFACE
ITGB5,CILENGITIDE,7.8306,SURFACE
ITGB5,INTETUMUMAB,8.7006,SURFACE
ITGB5,ABITUZUMAB,2.1752,SURFACE
ITGB5,INTEGRIN RECEPTOR ANTAGONIST GLPG0187,2.1752,SURFACE
KMT2E,DULOXETINE HYDROCHLORIDE,4.0157,SURFACE
HEXB,CORTISONE,2.6102,SURFACE
HEXB,GENTAMICIN,0.6809,SURFACE
HEXB,THYROXINE,0.8701,SURFACE
HEXB,TAMOXIFEN,0.1606,SURFACE
HEXB,RABEPRAZOLE,0.4016,SURFACE
HEXB,ESTRAMUSTINE,0.9492,SURFACE
HEXB,AMINOGLYCOSIDE ANTIBIOTIC,1.1601,SURFACE
HEXB,OMEPRAZOLE,0.2822,SURFACE
HEXB,CISPLATIN,0.1065,SURFACE
LY75,RASDEGAFUSP ALFA,17.4013,MUT
HIPK2,ILORASERTIB,0.0281,SURFACE
HIPK2,BAY 61-3606,0.0796,SURFACE
HIPK2,TAMATINIB,0.0403,SURFACE
HIPK2,LINIFANIB,0.0408,SURFACE
HIPK2,CYC-116,0.0336,SURFACE
HIPK2,GW441756X,0.0502,SURFACE
HIPK2,PHA-767491,0.0494,SURFACE
HIPK2,SP-600125,0.0367,SURFACE
HIPK2,PF-562271,0.0302,SURFACE
HIPK2,ENTRECTINIB,0.0572,SURFACE
HIPK2,GSK-269962A,0.0742,SURFACE
HIPK2,VADIMEZAN,1.0876,SURFACE
HIPK2,SORAFENIB,0.0284,SURFACE
HIPK2,PI-103,0.1717,SURFACE
HIPK2,CENISERTIB,0.0277,SURFACE
HTRA1,GALEGENIMAB,26.1019,SURFACE
HTRA1,HYDROGEN PEROXIDE,2.6102,SURFACE
GPNMB,GLEMBATUMUMAB,26.1019,SURFACE
GPNMB,GLEMBATUMUMAB VEDOTIN,1.6314,SURFACE
IFNGR1,INTERFERON GAMMA-1B,39.1528,SURFACE
IFNGR1,INDOLE-3-CARBINOL,8.7006,SURFACE
HLA-E,ETANERCEPT,0.6693,SURFACE
HLA-E,CEDAZURIDINE,4.3503,SURFACE
HLA-E,METHOTREXATE,0.1582,SURFACE
HLA-E,ADALIMUMAB,0.5273,SURFACE
HLA-E,INFLIXIMAB,0.5613,SURFACE
HLA-E,CERTOLIZUMAB PEGOL,2.4859,SURFACE
GPR34,AMG28,1.9335,SURFACE
GPR34,APILIMOD,5.8004,SURFACE
GPR34,COMPOUND 17 [PMID: 36111834],8.7006,SURFACE
KCNK2,SEVOFLURANE,0.6047,SURFACE
KCNK2,ISOFLURANE,0.2406,SURFACE
KCNK2,ENFLURANE,0.2406,SURFACE
KCNK2,DOFETILIDE,1.1473,SURFACE
KCNK2,DESFLURANE,0.2486,SURFACE
KCNK2,HALOTHANE,0.2072,SURFACE
IGF2R,MANNOSE 6-PHOSPHATE,52.2038,SURFACE
IGF2R,ALBUTEROL SULFATE,4.0157,SURFACE
HSPA1A,CD24FC,2.1752,SURFACE
HSPA1A,CARBAMAZEPINE,0.5327,SURFACE
HSPA1A,AG-858,26.1019,SURFACE
HSPA1A,MINNELIDE,13.0509,SURFACE
GJA1,SELENIUM,0.5583,SURFACE
GJA1,CARVEDILOL,0.3651,SURFACE
GJA1,PROPYLTHIOURACIL,0.4746,SURFACE
GJA1,BLEOMYCIN,0.5932,SURFACE
GJA1,VITAMIN A,0.3515,SURFACE
GJA1,ATENOLOL,0.2637,SURFACE
GJA1,PROTEASOME INHIBITOR,0.4746,SURFACE
GJA1,LABETALOL,0.5273,SURFACE
GJA1,PROTEASE INHIBITOR,0.4746,SURFACE
GJA1,ASCORBIC ACID,0.3651,SURFACE
GJA1,EPIGALLOCATECHIN GALLATE,0.5583,SURFACE
HSP90AB1,SILIBININ,0.1891,SURFACE
HSP90AB1,NOVOBIOCIN,0.4539,SURFACE
HSP90AB1,TANESPIMYCIN,0.5674,SURFACE
HSP90AB1,RETASPIMYCIN HYDROCHLORIDE,0.7566,SURFACE
HSP90AB1,SNX-5422,1.1349,SURFACE
HSP90AB1,TAS-116,1.1349,SURFACE
HSP90AB1,TYRPHOSTIN AG 555,0.0597,SURFACE
HSP90AB1,GEDUNIN,0.5674,SURFACE
HSP90AB1,DOXORUBICIN HYDROCHLORIDE,0.0077,SURFACE
HSP90AB1,MONOCILLIN I,1.1349,SURFACE
HSP90AB1,ALVESPIMYCIN,1.5132,SURFACE
HSP90AB1,RETASPIMYCIN,0.7566,SURFACE
HSP90AB1,SNX 5422,0.5674,SURFACE
HSP90AB1,DIPYRIDAMOLE,0.0203,SURFACE
HSP90AB1,DIACETYLRHEIN,0.1261,SURFACE
HSP90AB1,LUMINESPIB,0.1891,SURFACE
HSP90AB1,CD24FC,0.1891,SURFACE
HSP90AB1,HSP90 INHIBITOR DEBIO 0932,0.5674,SURFACE
HSP90AB1,AUY922,0.7566,SURFACE
HSP90AB1,CYCLOPROPARADICICOL,2.2697,SURFACE
HSP90AB1,TANESPIMYCIN,0.873,SURFACE
HSP90AB1,CUCURBITACIN D,1.1349,SURFACE
HSP90AB1,ZEARALENONE,0.0873,SURFACE
HSP90AB1,ZERANOL,0.1621,SURFACE
HSP90AB1,RADANAMYCIN,1.1349,SURFACE
HSP90AB1,ZEARALANONE,0.5674,SURFACE
HSP90AB1,CELASTROL,0.6809,SURFACE
HSP90AB1,RHEIN,0.0516,SURFACE
HSP90AB1,PU-H71,1.1349,SURFACE
HSP90AB1,DAUNORUBICIN HYDROCHLORIDE,0.0344,SURFACE
HSP90AB1,GANETESPIB,0.4256,SURFACE
HSP90AB1,TETRACYCLINE,0.063,SURFACE
HSP90AB1,BEVACIZUMAB,0.0567,SURFACE
HSP90AB1,ONALESPIB,0.5674,SURFACE
HSP90AB1,COUMERMYCIN,2.2697,SURFACE
HSP90AB1,MASOPROCOL,0.0241,SURFACE
HSP90AB1,BIIB021,0.5674,SURFACE
HSP90AB1,DERRUBONE,0.3783,SURFACE
HSP90AB1,RADICICOL,1.5132,SURFACE
HSP90AB1,GELDANAMYCIN,0.8322,SURFACE
HSP90AB1,HSP90 INHIBITOR LAM-003A,0.5674,SURFACE
HSP90AB1,HSP90 INHIBITOR XL888,0.2837,SURFACE
HSP90AB1,GAMBOGIC ACID,0.2522,SURFACE
KLF9,HG2+,5.2204,SURFACE
HNRNPA2B1,LOBELINE,3.4803,SURFACE
HNRNPA2B1,STM2457,10.4408,SURFACE
HNRNPA2B1,STC-15,10.4408,SURFACE
HNRNPA2B1,WD6305,10.4408,SURFACE
HNRNPA2B1,UZH2,10.4408,SURFACE
MERTK,HESPERADIN,0.261,SURFACE
MERTK,NINGETINIB,2.0882,SURFACE
MERTK,TAMNORZATINIB,3.4803,SURFACE
MERTK,MK-2461,0.435,SURFACE
MERTK,AT9283,0.9492,SURFACE
JAG1,MARALIXIBAT,8.7006,SURFACE
JAG1,ODEVIXIBAT,2.9002,SURFACE
JAG1,HYDROCORTISONE BUTYRATE,0.8286,SURFACE
GLO1,N-METHYLFORMAMIDE,14.9154,SURFACE
GLO1,SMD-3040,2.4859,SURFACE
GLO1,GNE-235,3.7288,SURFACE
GLO1,NARINGENIN,1.0654,SURFACE
GLO1,GNE-064,2.4859,SURFACE
GLO1,A947,3.7288,SURFACE
LRP1,WARFARIN,1.0546,SURFACE
LRP1,ANG1005,1.0236,SURFACE
LRP1,ANTISENSE OLIGONUCLEOTIDES,1.0546,SURFACE
HLA-DRA,NIVOLUMAB,0.2868,SURFACE
HLA-DRA,CLAVULANIC ACID,1.6573,SURFACE
HLA-DRA,FLOXACILLIN,1.6573,SURFACE
HLA-DRA,1D09C3,2.4859,SURFACE
HLA-DRA,AMOXICILLIN ANHYDROUS,0.785,SURFACE
HLA-DRA,ATEZOLIZUMAB,0.4143,SURFACE
HLA-DRA,PEMBROLIZUMAB,0.226,SURFACE
LPAR1,BMS-986202,6.5255,SURFACE
LPAR1,SAR100842,8.7006,SURFACE
LPAR1,BMS-986020,6.5255,SURFACE
LPAR1,BMS-986020,26.1019,SURFACE
GDI2,PF-9363,10.4408,SURFACE
IVL,RETINOIC ACID AGENT,0.842,MUT
IVL,PERILLYL ALCOHOL,5.8004,MUT
IVL,INFLIXIMAB,0.5613,MUT
IVL,ADALIMUMAB,0.5273,MUT
IVL,RETINYL ACETATE,2.1752,MUT
IVL,TOPICAL CORTICOSTEROID,5.8004,MUT
IL6ST,BAZEDOXIFENE,6.9605,SURFACE
IL6ST,RALOXIFENE HYDROCHLORIDE,0.6961,SURFACE
IL6ST,SATRALIZUMAB,5.8004,SURFACE
GNAS,AMITRIPTYLINE HYDROCHLORIDE,0.0331,SURFACE
GNAS,FLUOROURACIL,0.0129,SURFACE
GNAS,NICLOSAMIDE,0.0552,SURFACE
GNAS,"WIN 62,577",0.1864,SURFACE
GNAS,"9,10-PHENANTHRENEQUINONE",0.0574,SURFACE
GNAS,TETRAETHYLAMMONIUM CHLORIDE,1.4915,SURFACE
GNAS,ETOCARLIDE,1.4915,SURFACE
GNAS,TRIACETIN,1.4915,SURFACE
GNAS,MIFEPRISTONE,0.0533,SURFACE
GNAS,ACID BLUE 129,0.0785,SURFACE
GNAS,JNJ1661010,0.2486,SURFACE
GNAS,"(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE",0.0621,SURFACE
GNAS,GARCINONE E,0.1492,SURFACE
GNAS,CLIOXANIDE,0.2131,SURFACE
GNAS,CISPLATIN,0.0101,SURFACE
KCNJ2,DRONEDARONE HYDROCHLORIDE,3.2627,SURFACE
H1-2,DASA-58,6.5255,MUT
H1-2,COMPOUND 16 [PMID: 31977207],6.5255,MUT
H1-2,COMPOUND 1 [PMID: 31465224],6.5255,MUT
H1-2,COMPOUND 3K [PMID: 28688274],6.5255,MUT
H1-2,MITAPIVAT,3.2627,MUT
H1-2,COMPOUND 24 [PMID: 36723914],6.5255,MUT
H1-2,TEPP-46,6.5255,MUT
H1-2,DMAMCL,6.5255,MUT
ITGA2,E-7820,8.7006,SURFACE
ITGA2,VATELIZUMAB,26.1019,SURFACE
GALNT3,GSK-264220A,13.0509,SURFACE
GALNT3,COMPOUND 12 [PMID: 31990537],26.1019,SURFACE
IL1R1,THERAPEUTIC CORTICOSTEROID,0.1912,SURFACE
IL1R1,ANAKINRA,3.1233,SURFACE
IL1R1,EPOETIN ALFA,0.2362,SURFACE
IL1R1,AMG-108,2.0078,SURFACE
IL1R1,VITAMIN D,0.6178,SURFACE
IL1R1,"ALUM, POTASSIUM",2.0078,SURFACE
IL1R1,DEHYDRATED ALCOHOL,0.1017,SURFACE
IL1R1,GENISTEIN,0.1385,SURFACE
IL1R1,ADJUVANT,0.5354,SURFACE
IL1R1,MEDI-8968,4.0157,SURFACE
IL1R1,RECOMBINANT INTERLEUKIN-1,1.5617,SURFACE
IL1R1,AS101,1.6063,SURFACE
IL1R1,TRETINOIN,0.0883,SURFACE
LIPA,THERAPEUTIC HORMONE,0.791,SURFACE
LIPA,SEBELIPASE ALFA,8.7006,SURFACE
LIPA,LOVASTATIN,0.4462,SURFACE
LIPA,LIOTHYRONINE,0.5273,SURFACE
LIPA,TRIFLUOPERAZINE,0.58,SURFACE
LIPA,GLUCAGON (RDNA),1.5819,SURFACE
MDM2,DIPLAMINE B,4.0157,DRIVER
MDM2,NUTLIN-3,7.0274,DRIVER
MDM2,TCDD,0.1606,DRIVER
MDM2,NAVTEMADLIN,0.6693,DRIVER
MDM2,SULANEMADLIN,0.6693,DRIVER
MDM2,MILADEMETAN,2.0078,DRIVER
MDM2,IPILIMUMAB,0.1339,DRIVER
MDM2,LISSOCLINIDINE B,4.0157,DRIVER
MDM2,CISPLATIN,0.0137,DRIVER
MDM2,GAMBOGIC ACID,0.2231,DRIVER
MDM2,PD-98059,0.1085,DRIVER
MDM2,HDM2 INHIBITOR MK-8242,1.0039,DRIVER
MDM2,MDM2 ANTAGONIST RO5045337,2.0078,DRIVER
MDM2,MILADEMETAN TOSYLATE,2.0078,DRIVER
MDM2,THIRAM,0.0873,DRIVER
MDM2,APG115,1.0039,DRIVER
MDM2,SERDEMETAN,1.0039,DRIVER
MDM2,PEMBROLIZUMAB,0.0608,DRIVER
MDM2,ANGIOGENESIS INHIBITOR,0.3346,DRIVER
MDM2,IDASANUTLIN,1.3386,DRIVER
MDM2,ALRIZOMADLIN,1.0039,DRIVER
MDM2,NIVOLUMAB,0.0772,DRIVER
MDM2,SIREMADLIN,2.0078,DRIVER
MDM2,HELENALIN,0.1255,DRIVER
MDM2,MANGOSTIN,0.2008,DRIVER
LAMP1,DIMETHYL SULFOXIDE,6.5255,SURFACE
HSPA5,MIANSERIN,0.1813,SURFACE
HSPA5,4-METHYLDAPHNETIN,0.6525,SURFACE
HSPA5,AG 490,0.2039,SURFACE
HSPA5,EUPAFOLIN,0.2039,SURFACE
HSPA5,STROBOPININ,3.2627,SURFACE
HSPA5,FLUOROURACIL,0.0281,SURFACE
HSPA5,NORGESTREL,0.5438,SURFACE
HSPA5,CHLORQUINALDOL,0.8157,SURFACE
HSPA5,RUTHENIUM-BASED TRANSFERRIN TARGETING AGENT NKP-1339,1.6314,SURFACE
HSPA5,THAPSIGARGIN,0.8157,SURFACE
HSPA5,DAPHNETIN,0.3625,SURFACE
HSPA5,IT-139,3.2627,SURFACE
HSPA5,NPPB,0.4078,SURFACE
ITGB1,VOLOCIXIMAB,4.3503,SURFACE
ITGB1,NATALIZUMAB,1.0876,SURFACE
ITGB1,FIRATEGRAST,2.9002,SURFACE
ITGB1,SAN-300,2.1752,SURFACE
ITGB1,ABITUZUMAB,0.7251,SURFACE
ITGB1,R1295,1.4501,SURFACE
ITGB1,ATN-161,1.0876,SURFACE
ITGB1,PF-04605412,2.1752,SURFACE
ITGB1,ATL1102,2.1752,SURFACE
ITGB1,INTEGRIN RECEPTOR ANTAGONIST GLPG0187,0.7251,SURFACE
ITGB1,ETARACIZUMAB,1.0876,SURFACE
ITGB1,ANTI-THYMOCYTE GLOBULIN,0.3955,SURFACE
MAOB,SAFINAMIDE,0.5093,SURFACE
MAOB,LEVODOPA,0.1061,SURFACE
MAOB,MOCLOBEMIDE,0.764,SURFACE
MAOB,SELEGILINE,0.8913,SURFACE
MAOB,BIFEMELANE,0.6366,SURFACE
MAOB,MEBANAZINE,0.6366,SURFACE
MAOB,MELATONIN,0.0878,SURFACE
MAOB,PARGYLINE HYDROCHLORIDE,0.6366,SURFACE
MAOB,ISOCARBOXAZID,1.2733,SURFACE
MAOB,SEROTONIN,0.3638,SURFACE
MAOB,[18F]FLUORORASAGILINE,2.5465,SURFACE
MAOB,RASAGILINE,0.8488,SURFACE
MAOB,PHENOXYPROPAZINE,0.6366,SURFACE
MAOB,LAZABEMIDE,1.2733,SURFACE
MAOB,NIALAMIDE,0.2547,SURFACE
MAOB,SAFINAMIDE MESYLATE,1.2733,SURFACE
MAOB,COBALAMIN,1.2733,SURFACE
MAOB,PHENELZINE,0.2728,SURFACE
MAOB,RASAGILINE TARTRATE,1.2733,SURFACE
MAOB,RALFINAMIDE,0.0637,SURFACE
MAOB,SELEGILINE HYDROCHLORIDE,0.6366,SURFACE
MAOB,VITAMIN K3,0.0878,SURFACE
MAOB,TRANYLCYPROMINE,0.7276,SURFACE
MAOB,PARGYLINE,2.5465,SURFACE
MAOB,ANTIDEPRESSANT AGENT,0.049,SURFACE
MAOB,MOFEGILINE,1.2733,SURFACE
MAOB,INDANTADOL,0.1415,SURFACE
MAOB,NAPHTHOQUINONE,0.5093,SURFACE
MAOB,METHAMPHETAMINE,0.0531,SURFACE
MAOB,HALOPERIDOL DECANOATE,0.0335,SURFACE
MAOB,PHENELZINE SULFATE,0.1819,SURFACE
MAOB,IPRONIAZID,0.1819,SURFACE
MAOB,LINEZOLID,0.1415,SURFACE
KCNH4,NERISPIRDINE,0.174,MUT
KCNH4,AMIFAMPRIDINE PHOSPHATE,0.2122,MUT
KCNH4,AMIFAMPRIDINE,0.2072,MUT
KCNH4,GUANIDINE HYDROCHLORIDE,0.2122,MUT
KCNH4,DALFAMPRIDINE,0.1813,MUT
KCNH4,TEDISAMIL,0.2175,MUT
GLG1,CBPD-409,2.9002,SURFACE
GLG1,TTK21,2.9002,SURFACE
GLG1,COMPOUND 50 [PMID: 24313754],1.9335,SURFACE
GLG1,INOBRODIB,2.9002,SURFACE
GLG1,GNE-049,5.8004,SURFACE
GLG1,SGC-CBP30,2.9002,SURFACE
GLG1,I-CBP112,1.9335,SURFACE
GLG1,CBPD-268,1.9335,SURFACE
GLG1,ISCHEMIN,5.8004,SURFACE
IL1RL2,IMSIDOLIMAB,8.7006,MUT
IL1RL2,SPESOLIMAB,8.7006,MUT
IL1RL2,SPESOLIMAB,8.7006,MUT
LGALS3,OLITIGALTIN,13.0509,SURFACE
LGALS3,DAVANAT,6.5255,SURFACE
LGALS3,BELAPECTIN,26.1019,SURFACE
LGALS3,"LACTOSE, ANHYDROUS",8.7006,SURFACE
GUSB,RITONAVIR,0.9667,SURFACE
GUSB,VESTRONIDASE ALFA,26.1019,SURFACE
GDF2,CITARINOSTAT,0.2417,MUT
GDF2,VALPROIC ACID,0.0254,MUT
GDF2,PANOBINOSTAT,0.0453,MUT
GDF2,RESMINOSTAT,0.0967,MUT
GDF2,QUISINOSTAT,0.0659,MUT
GDF2,PRACINOSTAT,0.0967,MUT
GDF2,TUBASTATIN A,0.2417,MUT
GDF2,ROMIDEPSIN,0.0518,MUT
GDF2,NEXTURASTAT A,0.7251,MUT
GDF2,SS-208,0.2417,MUT
GDF2,DALANTERCEPT,1.0876,MUT
GDF2,BML-281,0.2417,MUT
GDF2,BUTYRIC ACID,0.05,MUT
GDF2,BELINOSTAT,0.0659,MUT
GDF2,TUCIDINOSTAT,1.4501,MUT
GDF2,CUDC-101,0.1208,MUT
GDF2,VORINOSTAT,0.0259,MUT
GDF2,SCRIPTAID,0.1611,MUT
GDF2,TRICHOSTATIN A,0.0537,MUT
GDF2,TACEDINALINE,0.1036,MUT
GDF2,ABEXINOSTAT,0.1115,MUT
GDF2,GIVINOSTAT,0.0806,MUT
GDF2,MARTINOSTAT,0.2417,MUT
GDF2,ENTINOSTAT,0.0691,MUT
GDF2,SUPRASTAT,0.29,MUT
GDF2,J27644,0.4834,MUT
GDF2,MOCETINOSTAT,0.0906,MUT
GDF2,APICIDIN,0.0967,MUT
GDF2,RGFP109,0.4834,MUT
GDF2,DACINOSTAT,0.0763,MUT
GDF2,FIMEPINOSTAT,0.0558,MUT
GDF2,ACY-738,0.3625,MUT
GDF2,KA1010,0.1318,MUT
GDF2,CHR-3996,0.1611,MUT
GDF2,RICOLINOSTAT,0.2072,MUT
GDF2,COMPOUND 25AP [PMID: 37796543],0.1611,MUT
GANAB,MIGLUSTAT,34.8025,SURFACE
NCOA1,TAMOXIFEN,0.4016,SURFACE
NCOA1,METHYLENE BLUE ANHYDROUS,0.3527,SURFACE
NCOA1,ETOPOSIDE,0.225,SURFACE
P4HB,LOMITAPIDE MESYLATE,0.8031,SURFACE
P4HB,LIQUIRITIN,4.0157,SURFACE
P4HB,ASTRAGALIN,4.0157,SURFACE
P4HB,RALOXIFENE HYDROCHLORIDE,0.0803,SURFACE
P4HB,SLX-4090,2.0078,SURFACE
P4HB,MITRATAPIDE,2.0078,SURFACE
P4HB,DIRLOTAPIDE,1.3386,SURFACE
P4HB,SYROSINGOPINE,1.0039,SURFACE
P4HB,IMPLITAPIDE,2.0078,SURFACE
P4HB,QUERCITRIN,1.3386,SURFACE
P4HB,DIHYDRODAPHNODORIN B,1.0039,SURFACE
PIP4K2A,FLUPIRTINE MALEATE,0.8031,SURFACE
PHOSPHO1,LANSOPRAZOLE,0.9001,SURFACE
PHOSPHO1,EBSELEN,0.7458,SURFACE
PTEN,BUPARLISIB,0.1245,DRIVER
PTEN,PP-242,0.1729,DRIVER
PTEN,PANITUMUMAB,0.0519,DRIVER
PTEN,PILARALISIB,0.061,DRIVER
PTEN,GSK2636771,0.2161,DRIVER
PTEN,GEFITINIB,0.0103,DRIVER
PTEN,AZD6482,0.1537,DRIVER
PTEN,AFATINIB,0.0576,DRIVER
PTEN,PEMBROLIZUMAB,0.0524,DRIVER
PTEN,ERLOTINIB,0.0123,DRIVER
PTEN,ENZALUTAMIDE,0.1296,DRIVER
PTEN,M-2698,0.0768,DRIVER
PTEN,BIRINAPANT,0.0864,DRIVER
PTEN,VEMURAFENIB,0.0748,DRIVER
PTEN,VENETOCLAX,0.0314,DRIVER
PTEN,TIRBANIBULIN,0.1383,DRIVER
PTEN,METFORMIN,0.0169,DRIVER
PTEN,TRASTUZUMAB,0.0256,DRIVER
PTEN,CISPLATIN,0.0094,DRIVER
PTEN,NVP-AEW541,0.1729,DRIVER
PTEN,PF-04691502,0.0864,DRIVER
PTEN,LEUCOVORIN CALCIUM,0.0288,DRIVER
PTEN,VORINOSTAT,0.0185,DRIVER
PTEN,PI3K/BET INHIBITOR LY294002,0.1729,DRIVER
PTEN,ACALISIB,0.0494,DRIVER
PTEN,ANTINEOPLASTIC AGENT,0.0494,DRIVER
PTEN,SORAFENIB,0.009,DRIVER
PTEN,MULTI-AGC KINASE INHIBITOR AT13148,0.3457,DRIVER
PTEN,RUCAPARIB,0.0432,DRIVER
PTEN,RISOVALISIB,0.3457,DRIVER
PTEN,NAVITOCLAX,0.0432,DRIVER
PTEN,TAS0612,0.0691,DRIVER
PTEN,FLUOROURACIL,0.0149,DRIVER
PTEN,GSK2334470,0.1152,DRIVER
PTEN,BORUSSERTIB,0.3457,DRIVER
PTEN,CAPIVASERTIB,0.3111,DRIVER
PTEN,CX-5461,0.6914,DRIVER
PTEN,PLX-4720,0.0768,DRIVER
PTEN,2-METHOXYESTRADIOL,0.0691,DRIVER
PTEN,PACLITAXEL,0.0283,DRIVER
PTEN,GSK690693,0.0432,DRIVER
PTEN,AZD8835,0.1152,DRIVER
PTEN,EVEROLIMUS,0.1729,DRIVER
PTEN,UPROSERTIB,0.0691,DRIVER
PTEN,PKI-179,0.2305,DRIVER
PTEN,MS417,0.2305,DRIVER
PTEN,BEVACIZUMAB,0.0173,DRIVER
PTEN,NIVOLUMAB,0.0798,DRIVER
PTEN,SIROLIMUS,0.0238,DRIVER
PTEN,ERDAFITINIB,0.0532,DRIVER
PTEN,PALBOCICLIB,0.0271,DRIVER
PTEN,UMI-77,0.6914,DRIVER
PTEN,PAXALISIB,0.0629,DRIVER
PTEN,CC-115,0.1152,DRIVER
PTEN,SAR260301,0.1296,DRIVER
PTEN,TRAMETINIB DIMETHYL SULFOXIDE,0.0294,DRIVER
PTEN,BRAFV600/PI3K INHIBITOR ASN003,0.1152,DRIVER
